road_name,highway,segment_count,total_length_m,total_length_km,traffic_match,traffic_match_method,matched_route_name_norm,matched_route_no,vol_mean,vol_min,vol_max,spd_mean,trvlTime_mean,traffic_rows_used,source_road,source_traffic
봉담과천로,trunk,113,36075.86,36.076,matched,route_name_match,봉담과천로,,0.0,0.0,0.0,57.511,25.275,131,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
수도권제1순환고속도로,motorway,23,16440.44,16.44,matched,route_name_match,수도권제1순환고속도로,,15.786,0.0,95.0,64.928,44.817,542,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
안양판교로,primary,37,14086.52,14.087,matched,route_no_ref_match,,57,0.0,0.0,0.0,35.356,29.722,205,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
제2경인고속도로,motorway,26,11875.86,11.876,matched,route_name_match,제2경인고속도로,,7.236,0.0,87.0,62.317,61.545,123,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
경수대로,primary,32,10404.78,10.405,matched,route_no_ref_match,,1,3.338,0.0,107.0,40.89,32.979,1558,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
덕영대로,tertiary,13,6715.46,6.715,matched,route_name_alias_match,덕영대로/오봉로,,0.0,0.0,0.0,17.5,4.5,4,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
영동고속도로,motorway,16,5637.43,5.637,matched,route_name_match,영동고속도로,,1.658,0.0,71.0,60.946,51.225,409,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
수원문산고속도로,motorway,4,5377.03,5.377,matched,route_no_ref_match,,17,0.937,0.0,59.0,60.777,27.718,806,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오봉로,tertiary,18,4583.34,4.583,matched,route_name_alias_match,덕영대로/오봉로,,0.0,0.0,0.0,17.5,4.5,4,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
하오개로,tertiary,5,2291.28,2.291,matched,route_no_ref_match,,57,0.0,0.0,0.0,35.356,29.722,205,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
흥안대로,primary,6,1943.7,1.944,matched,route_no_ref_match,,47,0.325,0.0,39.0,43.276,24.483,949,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고천지하차도,primary,8,1346.52,1.347,matched,route_no_ref_match,,1,3.338,0.0,107.0,40.89,32.979,1558,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계졸음쉼터,rest_area,1,334.55,0.335,matched,route_no_ref_match,,100,15.786,0.0,95.0,64.928,44.817,542,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
평촌지하도로,primary,1,306.2,0.306,matched,route_no_ref_match,,47,0.325,0.0,39.0,43.276,24.483,949,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
경수대로,service,1,137.08,0.137,matched,route_no_ref_match,,1,3.338,0.0,107.0,40.89,32.979,1558,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
흥안대로,residential,1,106.47,0.106,matched,route_no_ref_match,,47,0.325,0.0,39.0,43.276,24.483,949,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
덕영대로,secondary,4,93.24,0.093,matched,route_name_alias_match,덕영대로/오봉로,,0.0,0.0,0.0,17.5,4.5,4,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
한남정맥,path,12,7846.96,7.847,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
학의천자전거길,cycleway,10,6514.34,6.514,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운로,secondary,17,6072.17,6.072,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
안양천 자전거길,cycleway,2,5168.53,5.169,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
바라산숲길,track,1,3851.99,3.852,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계로,tertiary,7,3567.91,3.568,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
매실길,track,1,3476.93,3.477,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕송못동로,tertiary,18,2990.65,2.991,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
학현로,tertiary,11,2944.99,2.945,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운호수둘레길,footway,3,2898.39,2.898,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
철도박물관로,tertiary,16,2792.03,2.792,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
학의로,tertiary,4,2585.19,2.585,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕곡로,tertiary,5,2556.44,2.556,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
성고개로,tertiary,8,2440.76,2.441,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
의일로,secondary,21,2298.52,2.299,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오전로,tertiary,4,2182.36,2.182,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
모락로,tertiary,6,2166.39,2.166,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계천 자전거길,cycleway,2,2139.75,2.14,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
문화예술로,tertiary,11,2114.71,2.115,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕송못서길,tertiary,1,2083.02,2.083,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
초평로,tertiary,6,1984.4,1.984,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
윗새우대길,residential,3,1940.53,1.941,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
징계골길,residential,4,1873.19,1.873,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오매기백운산길,residential,2,1810.16,1.81,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
광교산로,unclassified,1,1699.01,1.699,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
복지로,tertiary,3,1676.33,1.676,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
능안길,residential,3,1669.06,1.669,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
내손순환로,tertiary,3,1502.32,1.502,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고고리길,service,1,1486.09,1.486,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
맑은내길,residential,2,1393.43,1.393,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고산로,tertiary,5,1298.52,1.299,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
가나무로,tertiary,3,1297.39,1.297,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
포일세거리로,tertiary,4,1281.19,1.281,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
포일로,tertiary,4,1214.93,1.215,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
시청로,tertiary,2,1183.53,1.184,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕곡천 자전거길,cycleway,1,1128.35,1.128,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
내손로,tertiary,2,1126.92,1.127,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
부곡복지관길,residential,7,1080.51,1.081,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운호수로,tertiary,6,1074.96,1.075,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운안길,residential,3,1067.24,1.067,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
뒷골길,unclassified,1,1033.82,1.034,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
부곡중학길,residential,8,1002.94,1.003,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
덕장로,tertiary,1,1000.7,1.001,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
광진말로,residential,3,974.96,0.975,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
계원대학로,tertiary,6,967.05,0.967,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
월암길,residential,3,965.22,0.965,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
벌모루길,residential,1,963.28,0.963,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
맑은내1길,residential,1,959.99,0.96,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕림길,residential,3,914.17,0.914,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운중앙로,tertiary,5,912.7,0.913,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
평의길,residential,2,894.56,0.895,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
솔고개길,service,2,882.07,0.882,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계천자전거길,cycleway,1,869.6,0.87,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
대안사길,service,3,860.29,0.86,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
홍치골길,residential,4,858.02,0.858,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
갈미로,tertiary,2,853.45,0.853,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
의왕군포로,tertiary,4,850.4,0.85,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
부곡시장길,residential,6,828.75,0.829,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고산로211번길,tertiary,1,822.03,0.822,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
내손중앙로,tertiary,3,804.93,0.805,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
갈미1로,residential,2,796.67,0.797,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
바라산로,tertiary,4,780.28,0.78,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
아랫새우대길,residential,1,774.14,0.774,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
새터길,residential,1,772.0,0.772,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
입북로77번길,unclassified,1,763.12,0.763,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
복합물류지하차도,tertiary,1,752.01,0.752,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
부곡중앙로,tertiary,15,733.66,0.734,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
새말길,residential,3,726.49,0.726,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
흥안대로456번길,tertiary,1,725.74,0.726,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
학의터널,secondary,2,724.88,0.725,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오전천로,tertiary,2,711.44,0.711,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
장안로,tertiary,4,701.17,0.701,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
수인로598번길,residential,1,686.64,0.687,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
통미마을길,service,6,680.96,0.681,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
의왕휴게소,services,2,674.61,0.675,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
이당로,tertiary,1,673.22,0.673,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
광진말1로,residential,2,671.59,0.672,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
입북로59번길,unclassified,1,669.09,0.669,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
모란길,residential,1,668.52,0.669,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
위인로,residential,1,665.88,0.666,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
솔고개길,residential,4,665.24,0.665,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
가나무로,unclassified,1,663.41,0.663,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
옻우물길,residential,2,662.66,0.663,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오봉산단3로,residential,4,658.4,0.658,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
학현로,residential,2,653.95,0.654,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
봇들로,residential,3,649.36,0.649,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
효행로,residential,1,643.68,0.644,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고천공업로,unclassified,3,640.93,0.641,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
괴말길,residential,3,633.3,0.633,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오봉산단1로,residential,6,629.45,0.629,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
백운로,tertiary,3,624.58,0.625,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
교동길,residential,3,620.04,0.62,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
양지편1로,living_street,3,615.92,0.616,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
왕송못동로,pedestrian,1,609.16,0.609,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계천자전거3길,cycleway,1,604.26,0.604,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
잿말길,residential,1,600.25,0.6,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
흥안대로434번길,residential,1,596.19,0.596,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고래들길,residential,1,595.12,0.595,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
호성로,residential,4,593.47,0.593,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
매실길,path,1,592.59,0.593,no_match,no_match,,,,,,,,,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
